city,city_ascii,state_id,state_name,name combo,county_fips,county_name,lat,lng,timezone,zips,id
Grandview,Grandview,MO,Missouri,"Grandview, Missouri",29095,Jackson,38.8802,-94.5227,America/Chicago,64030,1840008532
Forest Lake,Forest Lake,MN,Minnesota,"Forest Lake, Minnesota",27163,Washington,45.2536,-92.9583,America/Chicago,55025,1840007808
Chesapeake Beach,Chesapeake Beach,MD,Maryland,"Chesapeake Beach, Maryland",24009,Calvert,38.6881,-76.5448,America/New_York,20732,1840006151
Palm City,Palm City,FL,Florida,"Palm City, Florida",12085,Martin,27.1736,-80.2861,America/New_York,34990 34991,1840014192
Hudson,Hudson,WI,Wisconsin,"Hudson, Wisconsin",55109,St. Croix,44.9637,-92.7316,America/Chicago,54016,1840002135
Clarksburg,Clarksburg,MD,Maryland,"Clarksburg, Maryland",24031,Montgomery,39.2314,-77.2617,America/New_York,20841 20876 20871,1840005830
South Elgin,South Elgin,IL,Illinois,"South Elgin, Illinois",17089,Kane,41.9906,-88.3134,America/Chicago,60177,1840013564
Auburn Hills,Auburn Hills,MI,Michigan,"Auburn Hills, Michigan",26125,Oakland,42.6735,-83.2447,America/Detroit,48326 48321,1840002436
Baldwin,Baldwin,NY,New York,"Baldwin, New York",36059,Nassau,40.6634,-73.6104,America/New_York,11510,1840005228
North Tustin,North Tustin,CA,California,"North Tustin, California",6059,Orange,33.7644,-117.7945,America/Los_Angeles,92780 92705 92711,1840019319
Ontario,Ontario,OR,Oregon,"Ontario, Oregon",41045,Malheur,44.0259,-116.9759,America/Boise,97914,1840020002
Melrose Park,Melrose Park,IL,Illinois,"Melrose Park, Illinois",17031,Cook,41.9029,-87.8642,America/Chicago,60160 60163 60161,1840011296
Ardmore,Ardmore,OK,Oklahoma,"Ardmore, Oklahoma",40019,Carter,34.1944,-97.1253,America/Chicago,73401 73402 73403 73436,1840019258
Hastings,Hastings,NE,Nebraska,"Hastings, Nebraska",31001,Adams,40.5963,-98.3914,America/Chicago,68901 68902,1840001130
Burlington,Burlington,WI,Wisconsin,"Burlington, Wisconsin",55101,Racine,42.6746,-88.2723,America/Chicago,53105,1840002491
Norton Shores,Norton Shores,MI,Michigan,"Norton Shores, Michigan",26121,Muskegon,43.1621,-86.2519,America/Detroit,49441 49444,1840002873
Kernersville,Kernersville,NC,North Carolina,"Kernersville, North Carolina",37067,Forsyth,36.1066,-80.0844,America/New_York,27284 27285,1840016123
Sugar Hill,Sugar Hill,GA,Georgia,"Sugar Hill, Georgia",13135,Gwinnett,34.1081,-84.056,America/New_York,30518,1840015615
Herndon,Herndon,VA,Virginia,"Herndon, Virginia",51059,Fairfax,38.9699,-77.3867,America/New_York,20170 20172 22095,1840006037
Emporia,Emporia,KS,Kansas,"Emporia, Kansas",20111,Lyon,38.4028,-96.1924,America/Chicago,66801,1840001652
Prosper,Prosper,TX,Texas,"Prosper, Texas",48085,Collin,33.2394,-96.8087,America/Chicago,75078,1840022019
Rockville Centre,Rockville Centre,NY,New York,"Rockville Centre, New York",36059,Nassau,40.6644,-73.6383,America/New_York,11570 11571,1840005320
Palmetto Bay,Palmetto Bay,FL,Florida,"Palmetto Bay, Florida",12086,Miami-Dade,25.622,-80.3221,America/New_York,33158 33157 33257,1840018335
Suitland,Suitland,MD,Maryland,"Suitland, Maryland",24033,Prince George's,38.8492,-76.9225,America/New_York,20746 20747 20752 20790,1840031466
Somerset,Somerset,NJ,New Jersey,"Somerset, New Jersey",34035,Somerset,40.5083,-74.501,America/New_York,8873,1840005375
Avon Lake,Avon Lake,OH,Ohio,"Avon Lake, Ohio",39093,Lorain,41.4945,-82.016,America/New_York,44012,1840000642
Lathrop,Lathrop,CA,California,"Lathrop, California",6077,San Joaquin,37.809,-121.3131,America/Los_Angeles,95330 95231,1840020266
Loma Linda,Loma Linda,CA,California,"Loma Linda, California",6071,San Bernardino,34.0451,-117.2498,America/Los_Angeles,92354 92324 92373 92318 92350 92357,1840020406
Watauga,Watauga,TX,Texas,"Watauga, Texas",48439,Tarrant,32.8718,-97.2515,America/Chicago,76148,1840022049
Homer Glen,Homer Glen,IL,Illinois,"Homer Glen, Illinois",17197,Will,41.6044,-87.9497,America/Chicago,60491,1840011483
Tifton,Tifton,GA,Georgia,"Tifton, Georgia",13277,Tift,31.4625,-83.5205,America/New_York,31793 31794,1840015863
Dinuba,Dinuba,CA,California,"Dinuba, California",6107,Tulare,36.5453,-119.3987,America/Los_Angeles,93618,1840019044
Bloomingdale,Bloomingdale,FL,Florida,"Bloomingdale, Florida",12057,Hillsborough,27.8784,-82.2624,America/New_York,33511 33596,1840014150
Westmont,Westmont,IL,Illinois,"Westmont, Illinois",17043,DuPage,41.7948,-87.9742,America/Chicago,60559,1840011414
Clinton,Clinton,MS,Mississippi,"Clinton, Mississippi",28049,Hinds,32.354,-90.3403,America/Chicago,39056 39058,1840014893
Ashland,Ashland,CA,California,"Ashland, California",6001,Alameda,37.6942,-122.1159,America/Los_Angeles,94541 94580 94578,1840017619
Opelousas,Opelousas,LA,Louisiana,"Opelousas, Louisiana",22097,St. Landry,30.528,-92.0851,America/Chicago,70570 70571,1840015014
Camas,Camas,WA,Washington,"Camas, Washington",53011,Clark,45.6005,-122.4305,America/Los_Angeles,98607,1840018524
Harvey,Harvey,IL,Illinois,"Harvey, Illinois",17031,Cook,41.6076,-87.6521,America/Chicago,60426,1840007029
Medford,Medford,NY,New York,"Medford, New York",36103,Suffolk,40.822,-72.9859,America/New_York,11763,1840005043
Trotwood,Trotwood,OH,Ohio,"Trotwood, Ohio",39113,Montgomery,39.7927,-84.3165,America/New_York,45315 45426 45417 45416,1840010582
West Memphis,West Memphis,AR,Arkansas,"West Memphis, Arkansas",5035,Crittenden,35.1531,-90.1995,America/Chicago,72301 72364 72303,1840015448
Collinsville,Collinsville,IL,Illinois,"Collinsville, Illinois",17119,Madison,38.6769,-90.0059,America/Chicago,62234,1840007423
